    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s]
 1000.0000   301.1955    18.9709       -1.4        1.1
  975.0000   299.0235    18.8720       -1.4        1.1
  950.0000   297.3237    17.7474       -1.4        0.9
  925.0000   296.2765    15.6617       -1.4        0.7
  900.0000   294.9850    14.5598       -1.7        0.5
  875.0000   293.6509    13.7741       -2.1        0.3
  850.0000   292.3231    12.9942       -2.5        0.2
  825.0000   290.9697    12.3331       -2.9        0.1
  800.0000   289.5976    11.6540       -3.3        0.2
  775.0000   288.2229    10.7767       -3.7        0.1
  750.0000   286.8119     9.7414       -4.0       -0.0
  700.0000   283.8163     7.3089       -4.9       -0.3
  650.0000   280.7099     5.5655       -6.1       -0.8
  600.0000   277.5055     4.7482       -6.4       -1.8
  550.0000   273.7837     3.7719       -6.7       -2.5
  500.0000   269.4285     2.8591       -9.4       -2.7
  450.0000   264.6924     2.0026      -12.9       -4.3
  400.0000   259.3139     0.9465      -15.1       -5.5
  350.0000   252.6302     0.5627      -14.1       -7.2
  300.0000   244.5758     0.2610      -15.3       -7.4
  250.0000   234.5330     0.1979      -19.2       -8.5
  225.0000   229.2244     0.1309      -20.3      -11.1
  200.0000   222.8258     0.0824      -21.5      -13.2
  175.0000   215.7117     0.0517      -23.2      -14.5
  150.0000   208.1128     0.0238      -24.9      -15.5
  125.0000   200.4234     0.0093      -26.2      -15.2
  100.0000   194.5295     0.0044      -23.5       -9.3
   70.0000   202.1032     0.0032      -16.6       -2.2
   50.0000   210.7864     0.0027      -16.3        2.7
   30.0000   216.1900     0.0028      -20.3        0.9
   20.0000   220.7698     0.0029      -22.9        0.4
   10.0000   230.1997     0.0030      -22.1        1.7
    7.0000   234.7951     0.0030      -21.2       -0.8
    5.0000   239.1820     0.0031      -19.2       -1.5
    3.0000   248.7640     0.0032      -14.1       -2.2
    2.0000   256.6768     0.0034      -14.3       -2.7
    1.0000   261.7332     0.0038      -11.7       -3.4
