    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s]
 1000.0000   300.6524    18.6621       -1.1        2.4
  975.0000   298.4885    18.5628       -1.1        2.4
  950.0000   296.9645    17.3285       -1.5        2.1
  925.0000   295.8731    15.8983       -2.0        1.9
  900.0000   294.6662    14.6627       -2.2        1.9
  875.0000   293.4344    13.6490       -2.3        1.9
  850.0000   292.1447    12.8125       -2.5        1.8
  825.0000   290.8569    12.2160       -2.7        1.8
  800.0000   289.5691    11.5832       -3.0        1.7
  775.0000   288.2440    10.8347       -3.1        1.5
  750.0000   286.8188     9.9824       -3.2        1.4
  700.0000   283.9601     7.9145       -3.4        1.0
  650.0000   280.6953     6.0435       -4.1        1.1
  600.0000   276.9328     5.1804       -5.0        1.2
  550.0000   273.2947     3.9586       -5.1        0.4
  500.0000   269.0200     2.5954       -5.7        0.8
  450.0000   264.3875     1.5418       -7.0        1.2
  400.0000   258.7156     0.9689       -7.2        0.3
  350.0000   251.9381     0.5425       -6.7       -0.9
  300.0000   243.5928     0.3199       -6.1       -2.2
  250.0000   233.6385     0.1973       -6.1       -3.6
  225.0000   227.8729     0.1591       -7.5       -4.5
  200.0000   221.2498     0.0888       -8.7       -5.2
  175.0000   213.7137     0.0393       -9.9       -7.1
  150.0000   206.3904     0.0167      -10.6       -9.3
  125.0000   200.0720     0.0086      -10.5       -7.3
  100.0000   195.5507     0.0047      -15.0       -7.3
   70.0000   203.8745     0.0025      -18.1       -1.0
   50.0000   209.7564     0.0023      -19.5       -2.2
   30.0000   217.1339     0.0024      -20.7       -0.8
   20.0000   222.0488     0.0026      -22.1        1.8
   10.0000   229.4718     0.0028      -28.1        1.3
    7.0000   233.5955     0.0030      -29.7        0.8
    5.0000   237.9606     0.0031      -28.7        1.3
    3.0000   245.9314     0.0032      -30.0        0.4
    2.0000   256.2832     0.0034      -29.5        0.8
    1.0000   262.5146     0.0036      -19.5        0.2
